COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Brown Creek Provincial Recreation Area,6994760311967,662496395020,38803
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Wapiabi Provincial Recreation Area,6994760311967,662496395020,40501350
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Fish Lake Provincial Recreation Area,6994760311967,662496395020,4107851
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Blackstone Provincial Recreation Area,6994760311967,662496395020,31757
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Beaverdam Provincial Recreation Area,6994760311967,662496395020,1073806
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Harlech Provincial Recreation Area,6994760311967,662496395020,124405
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PP,Ram Falls Provincial Park,6994760311967,662496395020,4213286
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,NA,Alexo Natural Area,6994760311967,662496395020,413710
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,NA,Aurora Natural Area,6994760311967,662496395020,9127296
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,NP,Banff National Park of Canada,6994760311967,662496395020,6892933049
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PP,Canmore Nordic Centre Provincial Park,6994760311967,662496395020,6884990
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,NA,Scalp Creek Natural Area,6994760311967,662496395020,7212917
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,WA,Ghost River Wilderness Area,6994760311967,662496395020,153367150
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Wild Horse Provincial Recreation Area,6994760311967,662496395020,46726
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Red Deer River Provincial Recreation Area,6994760311967,662496395020,1261314
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Burnt Timber Provincial Recreation Area,6994760311967,662496395020,327929
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Deer Creek Provincial Recreation Area,6994760311967,662496395020,45903
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Thompson Creek Provincial Recreation Area,6994760311967,662496395020,1161858
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,WA,Siffleur Wilderness Area,6994760311967,662496395020,427748950
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Kootenay Plains Provincial Recreation Area,6994760311967,662496395020,1048626
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,ER,Kootenay Plains Ecological Reserve,6994760311967,662496395020,37697926
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Peppers Lake Provincial Recreation Area,6994760311967,662496395020,160608
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Seven Mile Provincial Recreation Area,6994760311967,662496395020,370346
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,James-Wilson Provincial Recreation Area,6994760311967,662496395020,162789
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Heart Creek Provincial Recreation Area,6994760311967,662496395020,97985
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Bow Valley Provincial Recreation Area,6994760311967,662496395020,23558
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Ghost Airstrip Provincial Recreation Area,6994760311967,662496395020,1606444
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Waiparous Valley Viewpoint Provincial Recreation Area,6994760311967,662496395020,38397
1232,Bombus bohemicus,Gypsy Cuckoo Bumble Bee,Arthropods,Endangered,No schedule,University of Ottawa,PRA,Fallen Timber South Provincial Recreation Area,6994760311967,662496395020,471357
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NP,Wood Buffalo National Park of Canada,1093590931969,376497576051,8070680062
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Ole's Lake Provincial Recreation Area,1093590931969,376497576051,811137
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,ER,Silver Valley Ecological Reserve,1093590931969,376497576051,18627241
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Stoney Lake Provincial Recreation Area,1093590931969,376497576051,1741256
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Figure Eight Lake Provincial Recreation Area,1093590931969,376497576051,1282326
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Queen Elizabeth Provincial Park,1093590931969,376497576051,748245
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Greene Valley Provincial Park,1093590931969,376497576051,32010810
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Peace River Provincial Recreation Area,1093590931969,376497576051,36818
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Sulphur Lake Provincial Recreation Area,1093590931969,376497576051,1515383
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Rainbow Lake Provincial Recreation Area,1093590931969,376497576051,248575
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Hay-Zama Lakes Wildland Provincial Park,1093590931969,376497576051,487433100
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Twin Lakes Provincial Recreation Area,1093590931969,376497576051,48894
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Notikewin Provincial Park,1093590931969,376497576051,102412100
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Machesis Lake Provincial Recreation Area,1093590931969,376497576051,777043
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Buffalo Tower Provincial Recreation Area,1093590931969,376497576051,192597
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Child Lake Meadows Natural Area,1093590931969,376497576051,3927293
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Caribou River Natural Area,1093590931969,376497576051,1769932
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Harper Creek Natural Area,1093590931969,376497576051,26369733
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Caribou Mountains Wildland Provincial Park,1093590931969,376497576051,5379164242
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Otauwau Natural Area,1093590931969,376497576051,2526670
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Saulteaux Natural Area,1093590931969,376497576051,2602873
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Calling Lake Provincial Park,1093590931969,376497576051,7436172
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,La Biche River Provincial Recreation Area,1093590931969,376497576051,650755
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Fawcett Lake Provincial Recreation Area,1093590931969,376497576051,469846
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Otter-Orloff Lakes Wildland Provincial Park,1093590931969,376497576051,60929295
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Hubert Lake Wildland Provincial Park,1093590931969,376497576051,97260536
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Hondo Natural Area,1093590931969,376497576051,4355342
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Cross Lake Provincial Park,1093590931969,376497576051,20670128
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Lawrence Lake Provincial Recreation Area,1093590931969,376497576051,2670578
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Chain Lakes Provincial Recreation Area,1093590931969,376497576051,209466
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Long Lake Provincial Park,1093590931969,376497576051,7669831
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,North Buck Lake Provincial Recreation Area,1093590931969,376497576051,1043103
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Poachers' Landing Provincial Recreation Area,1093590931969,376497576051,17721218
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,La Biche River Wildland Provincial Park,1093590931969,376497576051,174930019
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Garner Orchid Fen Natural Area,1093590931969,376497576051,1668951
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Sir Winston Churchill Provincial Park,1093590931969,376497576051,6702483
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Beaver Lake Provincial Recreation Area,1093590931969,376497576051,929264
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Lakeland Provincial Park,1093590931969,376497576051,100181782
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Moose Lake Provincial Park,1093590931969,376497576051,7470046
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Lakeland Provincial Recreation Area,1093590931969,376497576051,275363381
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,French Bay Provincial Recreation Area,1093590931969,376497576051,4555586
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Cold Lake Provincial Park,1093590931969,376497576051,10964331
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Bear Lake Natural Area,1093590931969,376497576051,958203
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Clear Lake Natural Area,1093590931969,376497576051,920681
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Fort Assiniboine Sandhills Wildland Provincial Park,1093590931969,376497576051,81976866
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Vega Natural Area,1093590931969,376497576051,1008718
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Spruce Island Lake Natural Area,1093590931969,376497576051,8328753
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Bridge Lake Natural Area,1093590931969,376497576051,1120581
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Halfway Lake Natural Area,1093590931969,376497576051,1292371
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Tawatinaw Natural Area,1093590931969,376497576051,8564081
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Taylor Lake Natural Area,1093590931969,376497576051,407657
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Crippsdale Natural Area,1093590931969,376497576051,651599
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,White Earth Valley Natural Area,1093590931969,376497576051,20438793
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Victoria Settlement Natural Area,1093590931969,376497576051,165483
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Bellis North Natural Area,1093590931969,376497576051,11112131
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Bellis Lake Natural Area,1093590931969,376497576051,625878
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Garner Lake Provincial Park,1093590931969,376497576051,681472
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Upper Mann Lake Natural Area,1093590931969,376497576051,1322447
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Mallaig Provincial Recreation Area,1093590931969,376497576051,23694
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Kehiwin Provincial Recreation Area,1093590931969,376497576051,41801
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Franchere Bay Provincial Recreation Area,1093590931969,376497576051,213049
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Whitney Lakes Provincial Park,1093590931969,376497576051,15117944
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Coal Lake North Provincial Recreation Area,1093590931969,376497576051,61264
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Miquelon Lake Provincial Park,1093590931969,376497576051,12951631
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Parkland Natural Area,1093590931969,376497576051,2610653
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Sherwood Park Natural Area,1093590931969,376497576051,691562
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Hastings Lake Islands Natural Area,1093590931969,376497576051,153166
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Edgar T. Jones Natural Area,1093590931969,376497576051,885647
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,North Cooking Lake Natural Area,1093590931969,376497576051,2143887
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Antler Lake Island Natural Area,1093590931969,376497576051,25598
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Cooking Lake-Blackfoot Provincial Recreation Area,1093590931969,376497576051,99994881
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NP,Elk Island National Park of Canada,1093590931969,376497576051,195335801
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Northwest of Bruderheim Natural Area,1093590931969,376497576051,2630372
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,North Bruderheim Provincial Recreation Area,1093590931969,376497576051,4472753
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Redwater Provincial Recreation Area,1093590931969,376497576051,22478073
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Beaverhill Natural Area,1093590931969,376497576051,3218406
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Beaverhill Lake Heritage Rangeland Natural Area,1093590931969,376497576051,177100031
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Vermilion Provincial Park,1093590931969,376497576051,7646400
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,ER,Wainwright Dunes Ecological Reserve,1093590931969,376497576051,29267871
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Ribstone Creek Heritage Rangeland Natural Area,1093590931969,376497576051,85149116
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Killarney-Reflex Lakes Heritage Rgeland Natural Area,1093590931969,376497576051,27979900
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Dillberry Lake Provincial Park,1093590931969,376497576051,12524647
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Town Creek Natural Area,1093590931969,376497576051,2602699
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Hoadley Natural Area,1093590931969,376497576051,650120
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Lloyd Creek Natural Area,1093590931969,376497576051,5836322
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Mount Butte Natural Area,1093590931969,376497576051,631808
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Battle Lake Natural Area,1093590931969,376497576051,652417
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Pigeon Lake Provincial Park,1093590931969,376497576051,4544986
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Peaceful Valley Provincial Recreation Area,1093590931969,376497576051,427542
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Thorsby Natural Area,1093590931969,376497576051,656348
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Clifford E. Lee Natural Area,1093590931969,376497576051,111811
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Kakina Lake Natural Area,1093590931969,376497576051,644637
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Bilby Natural Area,1093590931969,376497576051,1223700
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Wagner Natural Area,1093590931969,376497576051,2215740
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Lois Hole Centennial Provincial Park,1093590931969,376497576051,20729010
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,George Lake Natural Area,1093590931969,376497576051,1304358
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Big Island Provincial Park,1093590931969,376497576051,795702
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Riverlot 56 Natural Area,1093590931969,376497576051,1105039
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Strathcona Science Provincial Park,1093590931969,376497576051,1173355
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Opal Natural Area,1093590931969,376497576051,3746975
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Halfmoon Lake Natural Area,1093590931969,376497576051,3347076
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Redwater River Natural Area,1093590931969,376497576051,652041
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Demmitt Provincial Recreation Area,1093590931969,376497576051,19728
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Saskatoon Mountain Provincial Recreation Area,1093590931969,376497576051,9162828
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Saskatoon Island Provincial Park,1093590931969,376497576051,1154924
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Kleskun Hills Provincial Park,1093590931969,376497576051,10892658
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Kleskun Hill Natural Area,1093590931969,376497576051,631916
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Moonshine Lake Provincial Park,1093590931969,376497576051,11153441
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Dunvegan West Wildland Provincial Park,1093590931969,376497576051,210509440
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Dunvegan Provincial Park,1093590931969,376497576051,95386
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,NA,Sand Lake Natural Area,1093590931969,376497576051,29013894
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PRA,Simonette River Provincial Recreation Area,1093590931969,376497576051,544303
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,PP,Young's Point Provincial Park,1093590931969,376497576051,32458860
139,Ursus Arctos (pairie population),Grizzly Bear (Prairie population),Mammals ,Extirpated,Schedule 1,LAP_SAR_O2_20130328,WPP,Peace River Wildland Provincial Park,1093590931969,376497576051,245683553
