COSEWICID,SCI_NAME,COM_NAME_E,TAXON_E,SAR_STAT_E,SCHEDULE_E,DataSource,PA_Type,PA_Name,area_in_CA_m2,area_in_AB_m2,area_in_PA_m2
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Carson-Pegasus Provincial Park,7935504687439,662493790164,12167345
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Cartier Creek Provincial Recreation Area,7935504687439,662493790164,357046
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Castle Provincial Park,7935504687439,662493790164,257641107
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PP,Bow Valley Provincial Park,7935504687439,662493790164,33336543
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,PRA,Bow Valley Provincial Recreation Area,7935504687439,662493790164,23558
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,WPP,Bow Valley Wildland Provincial Park,7935504687439,662493790164,378396848
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,ER,Crow Lake Ecological Reserve,2663063334682,172383930931,9929155
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PP,Crow Lake Provincial Park,2663063334682,172383930931,7972394
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Dillon River Wildland Provincial Park,2663063334682,172383930931,1942751037
1278,Phalaropus lobatus,Red–necked Phalarope,Birds,Special Concern,No schedule,University of Ottawa,ER,Egg Island Ecological Reserve,4826033729113,32722601840,15247
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,English Bay Provincial Recreation Area,2663063334682,172383930931,188607
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,PRA,Engstrom Lake Provincial Recreation Area,2663063334682,172383930931,591028
1278,Phalaropus lobatus,Red–necked Phalarope,Birds,Special Concern,No schedule,University of Ottawa,WPP,Fidler-Greywillow Wildland Provincial Park,4826033729113,32722601840,74727416
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Gipsy Lake Wildland Provincial Park,2663063334682,172383930931,196549902
636,Rangifer tarandus,Woodland Caribou (Boreal population),Mammals,Threatened,Schedule 1,University of Ottawa,WPP,Grand Rapids Wildland Provincial Park,2663063334682,172383930931,266054054
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Battle Lake Natural Area,7935504687439,662493790164,652417
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bear Lake Natural Area,7935504687439,662493790164,958203
60,Asio flammeus,Short–eared Owl,Birds,Special Concern,Schedule 1,LAP_SAR_O2_20130328,NA,Bearberry Prairie Natural Area,7935504687439,662493790164,380369
